"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"d9ccc2c9",2021-03-31,2406377,74220,2222484,12730281,2243392,1957325,286067,NA,NA,NA,-2,-3,-2,-4,-2,-3,-2,4,2,2,2,1,2,1,71.51,81.02,71.01,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-01,2417826,74451,2229481,12787988,2300890,1965935,334955,NA,NA,NA,-2,-3,-2,-4,-2,-3,-2,4,2,2,2,1,2,1,71.51,81.02,71.01,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-02,2428048,74689,2237237,12831377,2336144,1971891,364253,NA,NA,NA,-2,-3,-2,-4,-2,-3,-2,4,2,2,2,1,2,1,71.51,81.02,71.01,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-03,2437196,74924,2245933,12867695,2381049,1989856,391193,NA,NA,NA,-2,-3,-2,-4,-2,-3,-2,4,2,2,2,1,2,1,71.51,81.02,71.01,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-04,2446218,75213,2254361,12900346,2408085,2005885,402200,NA,NA,NA,-2,-3,-2,-4,-2,-3,-2,4,2,2,2,1,2,1,71.51,81.02,71.01,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-05,2456408,75532,2263109,12942561,2479671,2056135,423536,NA,NA,NA,-2,-3,-2,3,-2,-3,-2,4,2,2,2,3,2,1,73.85,79.63,73.69,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-06,2468235,75840,2274478,12986795,NA,NA,NA,NA,NA,NA,-2,-3,-2,3,-2,-3,-2,4,2,2,2,3,2,1,73.85,79.63,73.69,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-07,2479616,76172,2284818,13039700,2691513,2148976,542537,NA,NA,NA,-2,-3,-2,3,-2,-3,-2,4,2,2,2,3,2,1,73.85,79.63,73.69,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-08,2492080,76493,2296432,13106929,2812828,2172751,640077,NA,NA,NA,-2,-3,-2,3,-2,-3,-2,4,2,2,2,3,2,1,73.85,79.63,73.69,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
"d9ccc2c9",2021-04-09,2504205,76875,2307279,13172008,2946222,2201956,744266,NA,NA,NA,-2,-3,-2,3,-2,-3,-2,4,2,2,2,3,2,1,73.85,79.63,73.69,75,1,"Colombia",NA,NA,4.5709,-74.2973,49648685,"COL","CO",170,"COU",NA,"ChIJo5QVrjqkFY4RQKPy7wSaDZo","Colombia","CO",NA,"COL"
