"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"f54996f4",2021-03-31,472947,9159,444121,9285719,1002739,877159,125580,18669,380,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-01,475545,9182,445420,9351096,1050112,893315,156797,20100,394,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-02,478287,9209,446781,9412242,1096698,913341,183357,21409,408,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-03,481042,9217,448304,9453345,NA,NA,NA,22499,431,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-04,483501,9227,449835,9470534,NA,NA,NA,23347,445,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-05,485054,9245,451727,9530808,1196884,956638,240246,23703,451,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-06,487706,9275,453053,9583827,1288566,996058,292508,24360,456,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-07,491165,9297,454710,9642251,1393108,1036429,356679,25844,464,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-08,494620,9330,456492,9713210,1487606,1066385,421221,27362,483,NA,1,-1,1,1,0,1,-1,4,2,1,2,1,1,3,53.85,42.59,47.26,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-09,498131,9350,458645,9780819,1592517,1101698,490819,28744,511,NA,1,-1,1,1,0,1,1,4,2,1,2,1,1,3,55.42,45.37,49.05,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-10,501873,9379,461377,9821743,NA,NA,NA,29558,520,NA,1,-1,1,1,0,1,1,4,2,1,2,1,1,2,53.33,45.37,46.67,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-11,504721,9397,463547,9844209,NA,NA,NA,30327,563,NA,1,-1,1,1,0,1,1,4,2,1,2,1,1,2,53.33,45.37,46.67,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-12,506821,9422,466396,9916469,1694167,1133262,560905,29885,596,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-13,510266,9466,468621,9981747,1752473,1151478,600995,30920,608,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-14,514568,9497,471170,10054839,1808769,1166347,642422,32198,631,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-15,519137,9535,473345,10137169,1870208,1191803,678405,34543,670,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-16,523655,9581,475966,10215135,1950634,1232238,718396,36493,702,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-17,528445,9619,478373,10265638,1958311,1239915,718396,38600,723,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-18,532532,9638,480632,10296209,1966723,1248327,718396,40425,738,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-19,535423,9668,483631,10382905,2116572,1343869,772703,40714,769,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-20,539750,9707,486479,10453856,2290688,1490188,800500,41907,791,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-21,545029,9761,489177,10550284,2500404,1673208,827196,44048,805,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-22,550502,9797,492392,10644541,2705552,1856501,849051,46115,816,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
"f54996f4",2021-04-23,555619,9851,495734,10735827,2934726,2055992,878734,48065,837,NA,1,-1,1,1,0,1,1,4,2,1,2,1,2,2,54.58,45.37,48.1,100,1,"Japan",NA,NA,36,138,126529100,"JPN","JP",392,"JPY",NA,"ChIJLxl_1w9OZzQRRFJmfNR1QvU","Japan","JP",NA,"JPN"
