"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"b46d9ea6",2021-03-31,1548157,52846,1474319,9879348,263878,263878,263878,3822,666,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-01,1549451,52897,1474826,9912073,269102,269102,269102,3752,646,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-02,1550724,52946,1475398,9939695,NA,NA,NA,3761,647,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-03,1551501,52954,1476605,9956086,NA,NA,NA,3769,647,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-04,1551964,52987,1477363,9968203,NA,NA,NA,3758,646,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-05,1552416,52995,1478088,9979294,NA,NA,NA,3758,646,NA,1,1,1,3,1,2,0,1,2,3,2,3,1,3,61.15,48.15,59.17,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-06,1552853,53032,1478820,9995431,272438,272438,272438,3629,620,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-07,1553609,53111,1479821,10020025,278909,278909,278909,3629,620,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-08,1554975,53173,1480632,10055899,283629,283629,283629,3609,618,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-09,1556242,53226,1481637,10086459,288368,288368,288368,3610,631,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-10,1557527,53256,1482682,10115923,288406,288406,288406,3614,620,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-11,1558458,53322,1483296,10138936,NA,NA,NA,3601,623,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-12,1559113,53356,1484356,10154978,289787,289787,289787,3662,628,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-13,1559960,53423,1485315,10181143,292623,292623,292623,3648,632,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-14,1561559,53498,1486873,10216114,NA,NA,NA,3554,627,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-15,1562931,53571,1488060,10259664,NA,NA,NA,4889,615,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-16,1564355,53663,1488572,10291264,NA,NA,NA,3607,601,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-17,1565680,53711,1489457,10305641,NA,NA,NA,3566,592,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-18,1566769,53736,1490143,10337066,NA,NA,NA,3563,609,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-19,1567513,53757,1490876,10355196,NA,NA,NA,3625,615,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-20,1568366,53887,1494630,10379089,NA,NA,NA,3670,642,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-21,1569935,53940,1495864,10413180,NA,NA,NA,3742,644,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-22,1571348,53995,1496756,10447673,NA,NA,NA,3748,633,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-23,1572985,54066,1499110,10481576,NA,NA,NA,3677,610,NA,2,2,0,2,1,2,0,1,2,2,2,3,2,1,55.62,47.22,52.86,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-24,1574370,54125,1500360,10508510,NA,NA,NA,3677,610,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-25,1575471,54148,1501185,10530979,NA,NA,NA,3679,587,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-26,1576320,54186,1501880,10545817,NA,NA,NA,3683,597,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-27,1577200,54237,1502986,10567593,NA,NA,NA,3661,585,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-28,1578450,54285,1503611,10590107,298153,298153,298153,3661,585,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-29,1579536,54331,1504426,10625030,307591,307591,307591,3764,620,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-04-30,1581210,54350,1505620,10654870,317656,317656,317656,3783,634,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-05-01,1582842,54406,1506732,10682827,318670,318670,318670,3750,630,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-05-02,1584064,54417,1507778,10699021,NA,NA,NA,3756,629,NA,3,2,0,2,1,2,0,1,2,2,2,3,2,1,57.71,50.93,55.24,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-05-03,1584961,54452,1508558,10715773,329098,329098,329098,3756,629,NA,1,2,0,2,1,2,0,1,2,2,2,3,2,1,53.54,43.52,50.48,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
"b46d9ea6",2021-05-04,1586148,54511,1509656,10739813,353181,353181,353181,3868,649,NA,1,2,0,2,1,2,0,1,2,2,2,3,2,1,53.54,43.52,50.48,75,1,"South Africa",NA,NA,-30.5595,22.9375,57779622,"ZAF","ZA",710,"ZAR",NA,"ChIJURLu2YmmNBwRoOikHwxjXeg","South Africa","ZA",NA,"ZAF"
